Gene Symbol,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9,microRNA 10,microRNA 11,microRNA 12,microRNA 13,microRNA 14,microRNA 15,microRNA 16,microRNA 17,microRNA 18,microRNA 19,microRNA 20,microRNA 21,microRNA 22,microRNA 23,microRNA 24,microRNA 25,microRNA 26,microRNA 27,microRNA 28,microRNA 29,microRNA 30,microRNA 31,microRNA 32,microRNA 33,microRNA 34,microRNA 35,microRNA 36,microRNA 37,microRNA 38,microRNA 39,microRNA 40,microRNA 41,microRNA 42,microRNA 43,microRNA 44,microRNA 45,microRNA 46,microRNA 47,microRNA 48,microRNA 49,microRNA 50,microRNA 51,microRNA 52,microRNA 53,microRNA 54,microRNA 55,microRNA 56,microRNA 57,microRNA 58,microRNA 59,microRNA 60,microRNA 61,microRNA 62,microRNA 63,microRNA 64,microRNA 65,microRNA 66,microRNA 67,microRNA 68,microRNA 69,microRNA 70,microRNA 71,microRNA 72,microRNA 73,microRNA 74,microRNA 75,microRNA 76,microRNA 77,microRNA 78,microRNA 79,microRNA 80,microRNA 81,microRNA 82,microRNA 83,microRNA 84,microRNA 85,microRNA 86,microRNA 87,microRNA 88,microRNA 89,microRNA 90,microRNA 91,microRNA 92,microRNA 93,microRNA 94,microRNA 95,microRNA 96,microRNA 97,microRNA 98,microRNA 99,microRNA 100,microRNA 101,microRNA 102,microRNA 103,microRNA 104,microRNA 105,microRNA 106,microRNA 107,microRNA 108,microRNA 109,microRNA 110,microRNA 111,microRNA 112,microRNA 113,microRNA 114
IGSF8,0.987,1,1.79,8,hsa-miR-7-5p,hsa-miR-744-5p,hsa-let-7b-5p,hsa-miR-149-3p,hsa-miR-197-5p,hsa-miR-198,hsa-miR-30b-3p,hsa-miR-432-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IKBKG,0.987,1,1.79,8,hsa-miR-15a-5p,hsa-miR-513b-5p,hsa-miR-362-3p,hsa-miR-488-5p,hsa-miR-887-3p,hsa-miR-485-5p,hsa-miR-342-3p,hsa-miR-708-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL10RB,0.98,1,2.26,3,hsa-miR-660-3p,hsa-miR-129-5p,hsa-miR-143-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL17REL,0.964,1,1.65,7,hsa-miR-525-5p,hsa-miR-520a-5p,hsa-miR-24-3p,hsa-miR-661,hsa-miR-558,hsa-miR-181a-2-3p,hsa-miR-769-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL2RA,0.957,1,1.57,8,hsa-miR-744-3p,hsa-miR-143-5p,hsa-miR-122-5p,hsa-miR-504-3p,hsa-miR-367-5p,hsa-miR-642a-5p,hsa-miR-877-3p,hsa-miR-188-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL2RB,0.998,1,5.27,1,hsa-miR-920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INAFM1,0.973,1,1.62,9,hsa-miR-141-5p,hsa-miR-211-3p,hsa-miR-450b-3p,hsa-miR-506-5p,hsa-miR-638,hsa-miR-760,hsa-miR-769-3p,hsa-miR-25-5p,hsa-miR-548s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INMT,0.945,1,1.44,11,hsa-miR-760,hsa-miR-675-5p,hsa-miR-24-3p,hsa-miR-331-3p,hsa-miR-383-3p,hsa-miR-887-5p,hsa-miR-450a-1-3p,hsa-miR-30b-3p,hsa-miR-30c-2-3p,hsa-miR-30c-1-3p,hsa-miR-149-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP6K1,1,1,1.99,17,hsa-miR-877-3p,hsa-miR-744-5p,hsa-miR-125a-5p,hsa-miR-125b-5p,hsa-miR-93-5p,hsa-let-7c-5p,hsa-let-7b-5p,hsa-miR-92a-2-5p,hsa-miR-608,hsa-miR-149-3p,hsa-miR-637,hsa-miR-194-3p,hsa-miR-133a-3p,hsa-miR-188-3p,hsa-miR-605-5p,hsa-miR-30b-3p,hsa-miR-342-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IQSEC2,0.959,1,1.67,6,hsa-miR-650,hsa-miR-708-5p,hsa-miR-28-5p,hsa-miR-196a-3p,hsa-miR-651-3p,hsa-miR-875-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IQSEC3,0.981,1,2.07,4,hsa-miR-30b-3p,hsa-miR-625-5p,hsa-miR-149-3p,hsa-miR-548ad-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL2,0.995,1,4.52,1,hsa-miR-149-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISLR2,0.996,1,4.77,1,hsa-miR-425-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IST1,0.991,1,3.01,2,hsa-miR-192-3p,hsa-miR-122-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITK,0.945,1,2.51,1,hsa-miR-21-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM2C,0.94,1,1.4,12,hsa-miR-103a-3p,hsa-miR-877-3p,hsa-miR-18a-3p,hsa-miR-324-5p,hsa-miR-625-5p,hsa-miR-18b-5p,hsa-miR-651-3p,hsa-miR-548az-5p,hsa-miR-296-3p,hsa-miR-541-3p,hsa-miR-620,hsa-miR-654-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWS1,0.962,1,2.26,2,hsa-miR-16-5p,hsa-miR-193b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAGN1,0.977,1,3.26,1,hsa-miR-29c-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPH2,0.934,1,1.45,9,hsa-miR-24-3p,hsa-miR-525-5p,hsa-miR-520a-5p,hsa-miR-488-5p,hsa-miR-362-3p,hsa-miR-143-5p,hsa-miR-122-5p,hsa-miR-504-3p,hsa-miR-500b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNB,0.997,1,3.51,2,hsa-miR-199a-3p,hsa-miR-199a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBTBD3,0.962,1,2.26,2,hsa-miR-132-3p,hsa-miR-181a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCNA5,0.941,1,1.84,3,hsa-miR-26b-5p,hsa-miR-488-3p,hsa-miR-149-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCNC3,0.933,1,1.61,5,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-663b,hsa-miR-874-5p,hsa-miR-637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCNE3,0.97,1,2.38,2,hsa-miR-455-3p,hsa-miR-92a-2-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCNIP2,0.945,1,2.51,1,hsa-miR-575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCNJ12,0.947,1,1.76,4,hsa-miR-331-3p,hsa-miR-770-5p,hsa-miR-362-3p,hsa-miR-642a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCNK3,0.986,1,1.92,6,hsa-miR-30c-2-3p,hsa-miR-30c-1-3p,hsa-miR-608,hsa-miR-149-3p,hsa-miR-365b-5p,hsa-miR-365a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIAA0040,0.997,1,5.02,1,hsa-miR-489-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIAA0319,0.959,1,2.76,1,hsa-miR-99b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIAA0513,0.98,1,1.44,19,hsa-miR-17-5p,hsa-miR-20a-5p,hsa-miR-93-5p,hsa-miR-106b-5p,hsa-miR-302a-3p,hsa-miR-302b-3p,hsa-miR-302d-3p,hsa-miR-372-3p,hsa-miR-373-3p,hsa-miR-520f-3p,hsa-miR-520c-3p,hsa-miR-519d-3p,hsa-miR-520d-3p,hsa-miR-302e,hsa-miR-302f,hsa-miR-377-5p,hsa-miR-485-5p,hsa-miR-548b-3p,hsa-miR-592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIAA0895L,0.991,1,2.01,6,hsa-miR-503-5p,hsa-miR-491-5p,hsa-miR-574-5p,hsa-miR-15b-3p,hsa-miR-185-3p,hsa-miR-204-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIAA1614,0.988,1,2.06,5,hsa-miR-608,hsa-miR-612,hsa-miR-576-5p,hsa-miR-32-3p,hsa-miR-590-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIF18B,0.968,1,1.81,5,hsa-miR-196a-5p,hsa-miR-92a-3p,hsa-miR-637,hsa-miR-24-3p,hsa-miR-664a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLF16,0.987,1,2.43,3,hsa-miR-608,hsa-miR-761,hsa-miR-214-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLHL38,0.987,1,3.76,1,hsa-miR-873-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRBA2,0.941,1,1.84,3,hsa-miR-143-5p,hsa-miR-122-5p,hsa-miR-504-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRR1,0.998,1,3.76,2,hsa-miR-455-3p,hsa-miR-377-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRT8,0.971,1,1.76,6,hsa-miR-26b-5p,hsa-miR-377-5p,hsa-miR-655-5p,hsa-miR-329-5p,hsa-miR-30b-3p,hsa-miR-149-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRT80,1,1,3.26,5,hsa-miR-7-5p,hsa-miR-149-3p,hsa-miR-139-3p,hsa-miR-548e-3p,hsa-miR-548ar-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRTAP9-6,1,1,7.53,1,hsa-miR-485-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KSR2,1,1,3.93,3,hsa-miR-642a-5p,hsa-miR-607,hsa-miR-511-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMA5,0.959,1,2.76,1,hsa-miR-335-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAT2,0.971,1,1.76,6,hsa-miR-365b-5p,hsa-miR-365a-5p,hsa-miR-194-3p,hsa-miR-660-3p,hsa-miR-377-5p,hsa-miR-455-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYN,0.945,1,2.51,1,hsa-miR-744-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBX1,0.987,1,3.76,1,hsa-miR-128-1-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCE1A,0.99,1,2.51,3,hsa-miR-552-3p,hsa-miR-33a-3p,hsa-miR-516b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCE1B,0.969,1,3.01,1,hsa-miR-7-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDOC1,0.996,1,4.77,1,hsa-miR-221-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LENG8,0.989,1,2.88,2,hsa-miR-183-5p,hsa-miR-650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LETM2,0.998,1,3.76,2,hsa-miR-197-5p,hsa-miR-660-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LETMD1,0.983,1,1.88,6,hsa-miR-877-5p,hsa-miR-650,hsa-miR-342-3p,hsa-miR-129-5p,hsa-miR-590-3p,hsa-miR-664a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGALS3BP,0.986,1,1.73,9,hsa-miR-7-5p,hsa-miR-296-3p,hsa-miR-222-3p,hsa-miR-616-3p,hsa-miR-939-5p,hsa-miR-493-3p,hsa-miR-198,hsa-miR-204-3p,hsa-miR-764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHX4,0.962,1,2.26,2,hsa-miR-548s,hsa-miR-548as-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHX5,0.982,1,2.63,2,hsa-miR-642a-5p,hsa-miR-216b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIPC,0.955,1,1.43,13,hsa-miR-148b-3p,hsa-miR-623,hsa-miR-204-5p,hsa-miR-211-5p,hsa-miR-650,hsa-miR-302f,hsa-miR-676-3p,hsa-miR-485-5p,hsa-miR-510-5p,hsa-miR-512-5p,hsa-miR-874-5p,hsa-miR-891a-3p,hsa-miR-214-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIPH,0.936,1,1.69,4,hsa-miR-433-5p,hsa-miR-377-5p,hsa-miR-455-3p,hsa-miR-650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLGL1,0.96,1,1.46,12,hsa-miR-196a-5p,hsa-miR-24-3p,hsa-miR-186-5p,hsa-miR-887-5p,hsa-miR-450a-1-3p,hsa-miR-612,hsa-miR-383-3p,hsa-miR-30b-3p,hsa-miR-30c-2-3p,hsa-miR-30c-1-3p,hsa-miR-149-3p,hsa-miR-485-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMTK2,0.966,1,1.71,6,hsa-miR-335-5p,hsa-miR-190a-3p,hsa-miR-769-3p,hsa-miR-450b-3p,hsa-miR-411-5p,hsa-miR-216a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMX1A,0.938,1,2.01,2,hsa-miR-342-3p,hsa-miR-362-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMX1B,0.959,1,2.76,1,hsa-miR-188-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LNPEP,0.934,1,1.33,16,hsa-miR-877-5p,hsa-miR-744-5p,hsa-miR-18a-3p,hsa-miR-361-5p,hsa-miR-379-5p,hsa-miR-133a-5p,hsa-miR-512-3p,hsa-miR-148b-3p,hsa-miR-152-3p,hsa-miR-148a-3p,hsa-miR-138-5p,hsa-miR-539-3p,hsa-miR-485-3p,hsa-miR-362-3p,hsa-miR-216a-3p,hsa-miR-128-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRFN1,0.962,1,2.26,2,hsa-miR-485-5p,hsa-miR-324-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRG1,0.987,1,3.76,1,hsa-miR-335-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRIG2,0.997,1,1.67,17,hsa-miR-424-5p,hsa-miR-195-5p,hsa-miR-15a-5p,hsa-miR-15b-5p,hsa-miR-16-5p,hsa-miR-758-3p,hsa-miR-888-3p,hsa-miR-24-3p,hsa-miR-383-3p,hsa-miR-887-5p,hsa-miR-450a-1-3p,hsa-miR-30b-3p,hsa-miR-30c-2-3p,hsa-miR-30c-1-3p,hsa-miR-149-3p,hsa-miR-143-5p,hsa-miR-25-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRP10,0.969,1,1.53,11,hsa-miR-335-5p,hsa-miR-124-3p,hsa-miR-222-3p,hsa-miR-29b-3p,hsa-miR-485-5p,hsa-miR-211-3p,hsa-miR-664b-3p,hsa-miR-516a-5p,hsa-miR-548b-3p,hsa-miR-215-3p,hsa-miR-500b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRRC45,0.987,1,3.76,1,hsa-miR-139-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTB4R2,0.983,1,3.51,1,hsa-miR-874-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTBP2,0.999,1,4.14,2,hsa-miR-335-5p,hsa-miR-532-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTF,0.962,1,2.26,2,hsa-miR-214-3p,hsa-miR-942-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LY6H,0.951,1,2.13,2,hsa-miR-335-5p,hsa-miR-25-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYRM4,0.937,1,1.33,17,hsa-miR-548s,hsa-miR-921,hsa-miR-650,hsa-miR-377-5p,hsa-miR-558,hsa-miR-455-3p,hsa-miR-661,hsa-miR-766-3p,hsa-miR-508-5p,hsa-miR-542-3p,hsa-miR-24-3p,hsa-miR-143-5p,hsa-miR-675-5p,hsa-miR-122-5p,hsa-miR-504-3p,hsa-miR-215-3p,hsa-miR-129-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
