Gene Symbol,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9,microRNA 10,microRNA 11,microRNA 12,microRNA 13,microRNA 14,microRNA 15,microRNA 16,microRNA 17,microRNA 18,microRNA 19,microRNA 20,microRNA 21,microRNA 22,microRNA 23,microRNA 24,microRNA 25,microRNA 26,microRNA 27,microRNA 28,microRNA 29,microRNA 30,microRNA 31,microRNA 32,microRNA 33,microRNA 34,microRNA 35,microRNA 36,microRNA 37,microRNA 38,microRNA 39,microRNA 40,microRNA 41,microRNA 42,microRNA 43,microRNA 44,microRNA 45,microRNA 46,microRNA 47,microRNA 48,microRNA 49,microRNA 50,microRNA 51,microRNA 52,microRNA 53,microRNA 54,microRNA 55,microRNA 56,microRNA 57
PALM2,0.841,1,1.29,9,hsa-miR-340-5p,hsa-miR-548x-3p,hsa-miR-548j-3p,hsa-miR-609,hsa-miR-591,hsa-miR-877-3p,hsa-miR-302d-5p,hsa-miR-302b-5p,hsa-miR-622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANK1,0.964,1,1.84,5,hsa-miR-205-5p,hsa-miR-452-3p,hsa-miR-588,hsa-miR-329-5p,hsa-miR-144-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANK2,0.754,1,1.24,4,hsa-miR-877-3p,hsa-miR-506-3p,hsa-miR-605-3p,hsa-miR-302f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAOX,0.996,1,4.96,1,hsa-miR-136-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAPD4,0.939,1,2.11,2,hsa-miR-590-3p,hsa-miR-454-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAPOLA,0.844,1,1.38,5,hsa-miR-155-5p,hsa-miR-877-5p,hsa-miR-7-2-3p,hsa-miR-7-1-3p,hsa-miR-149-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAQR3,0.816,1,1.4,3,hsa-miR-190a-3p,hsa-miR-557,hsa-miR-507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAQR5,0.715,1,1.14,9,hsa-miR-921,hsa-miR-208b-3p,hsa-miR-208a-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-450a-1-3p,hsa-miR-30c-2-3p,hsa-miR-30c-1-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAQR7,0.959,1,2.06,3,hsa-miR-766-3p,hsa-miR-508-5p,hsa-miR-211-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARD3B,0.938,1,2.56,1,hsa-miR-362-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARD6G,0.859,1,1.81,1,hsa-miR-223-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARK7,0.881,1,1.96,1,hsa-miR-135b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARL,0.75,1,1.28,2,hsa-miR-583,hsa-miR-452-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARP2,0.836,1,1.23,14,hsa-miR-577,hsa-miR-548m,hsa-miR-661,hsa-miR-612,hsa-miR-589-3p,hsa-miR-377-5p,hsa-miR-609,hsa-miR-588,hsa-miR-616-5p,hsa-miR-450a-1-3p,hsa-miR-513b-5p,hsa-miR-624-3p,hsa-miR-548ba,hsa-miR-548ag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARS2,0.695,1,1.15,3,hsa-miR-149-3p,hsa-miR-874-5p,hsa-miR-761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARVB,0.834,1,1.31,7,hsa-miR-612,hsa-miR-616-5p,hsa-miR-122-5p,hsa-miR-367-5p,hsa-miR-501-5p,hsa-miR-370-3p,hsa-miR-340-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATJ,0.754,1,1.24,4,hsa-miR-548b-3p,hsa-miR-155-5p,hsa-miR-578,hsa-miR-211-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATL1,0.953,1,2.26,2,hsa-miR-297,hsa-miR-567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATZ1,0.732,1,1.2,4,hsa-miR-516b-5p,hsa-miR-122-5p,hsa-miR-612,hsa-miR-621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX3,0.847,1,1.58,2,hsa-miR-362-3p,hsa-miR-613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX5,0.83,1,1.39,4,hsa-miR-548m,hsa-miR-574-5p,hsa-miR-335-3p,hsa-miR-620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX7,0.834,1,1.65,1,hsa-miR-924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX8,0.805,1,1.5,1,hsa-miR-100-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBLD,0.859,1,1.81,1,hsa-miR-32-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBOV1,0.866,1,1.65,2,hsa-miR-411-5p,hsa-miR-590-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBRM1,0.866,1,1.65,2,hsa-miR-155-5p,hsa-miR-877-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBX2,0.852,1,1.5,3,hsa-miR-760,hsa-miR-202-3p,hsa-miR-558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCBP1,0.775,1,1.28,4,hsa-miR-10a-3p,hsa-miR-142-5p,hsa-miR-30c-2-3p,hsa-miR-30c-1-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCBP2,0.83,1,1.39,4,hsa-miR-142-5p,hsa-miR-519d-3p,hsa-miR-595,hsa-miR-190a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCCB,0.85,1,1.27,11,hsa-miR-155-5p,hsa-miR-548an,hsa-miR-582-5p,hsa-miR-144-3p,hsa-miR-506-3p,hsa-miR-612,hsa-miR-660-3p,hsa-miR-377-5p,hsa-miR-149-3p,hsa-miR-302f,hsa-miR-340-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHA4,0.881,1,1.96,1,hsa-miR-627-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHA6,0.869,1,1.38,7,hsa-miR-511-5p,hsa-miR-488-3p,hsa-miR-376c-5p,hsa-miR-376b-5p,hsa-miR-450a-1-3p,hsa-miR-30c-2-3p,hsa-miR-30c-1-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHB11,0.751,1,1.2,6,hsa-miR-190a-5p,hsa-miR-302f,hsa-miR-450a-1-3p,hsa-miR-30c-2-3p,hsa-miR-30c-1-3p,hsa-miR-149-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHB16,0.909,1,1.88,2,hsa-miR-32-3p,hsa-miR-377-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDHB2,0.927,1,2.41,1,hsa-miR-637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCMTD2,0.75,1,1.25,3,hsa-miR-519e-5p,hsa-miR-9-5p,hsa-miR-548as-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCNA,0.75,1,1.25,3,hsa-miR-877-5p,hsa-miR-542-3p,hsa-miR-222-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCP4L1,0.743,1,1.18,7,hsa-miR-135a-5p,hsa-miR-135b-5p,hsa-miR-573,hsa-miR-519e-5p,hsa-miR-452-3p,hsa-miR-581,hsa-miR-186-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCSK1,0.695,1,1.15,3,hsa-miR-493-5p,hsa-miR-10b-3p,hsa-miR-892c-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCSK7,0.77,1,1.35,1,hsa-miR-627-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCSK9,0.776,1,1.23,7,hsa-miR-335-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-744-3p,hsa-miR-367-5p,hsa-miR-939-5p,hsa-miR-759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCYT1A,0.98,1,2.71,2,hsa-miR-186-3p,hsa-miR-622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCYT2,0.947,1,2.71,1,hsa-miR-335-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCD10,0.706,1,1.14,7,hsa-miR-155-5p,hsa-miR-190a-3p,hsa-miR-362-3p,hsa-miR-335-3p,hsa-miR-302c-5p,hsa-miR-586,hsa-miR-103a-2-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCD11,0.899,1,2.11,1,hsa-miR-335-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCL3,0.814,1,1.32,5,hsa-miR-545-3p,hsa-miR-766-3p,hsa-miR-508-5p,hsa-miR-558,hsa-miR-302f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDE11A,0.959,1,2.33,2,hsa-miR-335-3p,hsa-miR-876-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDE1B,0.955,1,2.86,1,hsa-miR-664a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDE3A,0.905,1,1.4,9,hsa-miR-155-5p,hsa-miR-211-5p,hsa-miR-548ax,hsa-miR-548ao-5p,hsa-miR-607,hsa-miR-106a-3p,hsa-miR-103a-2-5p,hsa-miR-367-5p,hsa-miR-450a-1-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDE4A,0.846,1,1.43,4,hsa-miR-335-5p,hsa-miR-18a-3p,hsa-miR-874-5p,hsa-miR-504-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDE6A,0.905,1,1.71,3,hsa-miR-203b-3p,hsa-miR-212-5p,hsa-miR-186-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDE6B,0.988,1,4.06,1,hsa-miR-585-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDE6D,0.927,1,2.41,1,hsa-miR-675-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDE7A,0.978,1,2.31,3,hsa-miR-210-5p,hsa-miR-149-3p,hsa-miR-221-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDE7B,0.835,1,1.45,3,hsa-miR-149-3p,hsa-miR-335-3p,hsa-miR-607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDGFA,0.684,1,1.13,2,hsa-miR-514b-3p,hsa-miR-514a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDGFB,0.913,1,1.48,7,hsa-miR-625-5p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-519d-3p,hsa-miR-184,hsa-miR-488-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDGFRA,0.964,1,1.84,5,hsa-miR-630,hsa-miR-149-3p,hsa-miR-548x-3p,hsa-miR-548j-3p,hsa-miR-628-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDHA1,0.927,1,2.41,1,hsa-miR-877-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDIA6,0.951,1,1.84,4,hsa-miR-607,hsa-miR-548as-3p,hsa-miR-424-5p,hsa-miR-376a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDIK1L,0.932,1,1.73,4,hsa-miR-373-3p,hsa-miR-590-3p,hsa-miR-181b-3p,hsa-miR-573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDLIM5,0.997,1,3.11,3,hsa-miR-155-5p,hsa-miR-607,hsa-miR-513c-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDLIM7,0.681,1,1.05,1,hsa-miR-132-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDP2,0.997,1,2.11,8,hsa-miR-644a,hsa-miR-202-3p,hsa-miR-744-3p,hsa-miR-106a-3p,hsa-miR-122-5p,hsa-miR-183-5p,hsa-miR-454-3p,hsa-miR-616-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDPR,0.953,1,2.26,2,hsa-miR-155-5p,hsa-miR-18a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDXK,0.857,1,1.41,5,hsa-miR-760,hsa-miR-588,hsa-miR-221-5p,hsa-miR-651-3p,hsa-miR-761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDXP,0.729,1,1.2,1,hsa-miR-95-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDZD11,0.909,1,1.88,2,hsa-miR-454-3p,hsa-miR-519d-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDZD4,0.99,1,4.21,1,hsa-miR-335-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDZD8,0.926,1,1.39,12,hsa-miR-335-5p,hsa-miR-601,hsa-miR-545-3p,hsa-miR-655-3p,hsa-miR-374c-5p,hsa-miR-631,hsa-miR-363-3p,hsa-miR-32-5p,hsa-miR-202-3p,hsa-miR-548x-3p,hsa-miR-548j-3p,hsa-miR-149-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEAK3,0.914,1,2.26,1,hsa-miR-184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELI3,0.729,1,1.2,1,hsa-miR-587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELO,0.778,1,1.35,2,hsa-miR-34c-3p,hsa-miR-548ao-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PER2,0.942,1,1.54,8,hsa-miR-510-5p,hsa-miR-588,hsa-miR-103a-2-5p,hsa-miR-645,hsa-miR-557,hsa-miR-507,hsa-miR-32-5p,hsa-miR-363-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PER3,0.98,1,3.61,1,hsa-miR-939-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEX10,0.684,1,1.13,2,hsa-miR-769-3p,hsa-miR-450b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEX11B,0.78,1,1.26,5,hsa-miR-377-5p,hsa-miR-379-5p,hsa-miR-381-5p,hsa-miR-202-3p,hsa-miR-494-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEX26,0.823,1,1.16,23,hsa-miR-545-3p,hsa-miR-567,hsa-miR-219a-2-3p,hsa-miR-297,hsa-miR-514b-5p,hsa-miR-513c-5p,hsa-miR-588,hsa-miR-203b-3p,hsa-miR-329-5p,hsa-miR-340-3p,hsa-miR-558,hsa-miR-557,hsa-miR-507,hsa-miR-450b-5p,hsa-miR-660-3p,hsa-miR-525-5p,hsa-miR-520a-5p,hsa-miR-744-3p,hsa-miR-367-5p,hsa-miR-496,hsa-miR-149-3p,hsa-miR-194-5p,hsa-miR-451b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEX5L,0.691,1,1.13,6,hsa-miR-545-5p,hsa-miR-144-3p,hsa-miR-548az-5p,hsa-miR-548n,hsa-miR-190a-3p,hsa-miR-545-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFAS,0.987,1,2.51,3,hsa-miR-132-3p,hsa-miR-302f,hsa-miR-377-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFKFB3,0.798,1,1.29,5,hsa-miR-330-3p,hsa-miR-149-3p,hsa-miR-183-5p,hsa-miR-548az-5p,hsa-miR-96-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFKM,0.938,1,2.56,1,hsa-miR-877-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFN1,0.939,1,1.57,7,hsa-miR-766-3p,hsa-miR-874-5p,hsa-miR-96-5p,hsa-miR-223-5p,hsa-miR-342-5p,hsa-miR-939-5p,hsa-miR-522-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFN2,0.947,1,2.71,1,hsa-miR-7-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGAM1,0.995,1,2.35,5,hsa-miR-589-5p,hsa-miR-96-5p,hsa-miR-144-3p,hsa-miR-149-3p,hsa-miR-542-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGAM4,0.794,1,1.2,11,hsa-miR-542-3p,hsa-miR-149-3p,hsa-miR-190a-5p,hsa-miR-499b-3p,hsa-miR-200a-3p,hsa-miR-141-3p,hsa-miR-363-3p,hsa-miR-32-5p,hsa-miR-582-5p,hsa-miR-634,hsa-miR-761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGAM5,0.979,1,1.88,6,hsa-miR-377-5p,hsa-miR-744-3p,hsa-miR-411-5p,hsa-miR-30c-2-3p,hsa-miR-30c-1-3p,hsa-miR-149-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGD,0.665,1,1.1,3,hsa-miR-339-5p,hsa-miR-670-3p,hsa-miR-548g-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGM2L1,0.704,1,1.1,16,hsa-miR-149-3p,hsa-miR-548an,hsa-miR-548az-5p,hsa-miR-100-3p,hsa-miR-606,hsa-miR-496,hsa-miR-133a-5p,hsa-miR-221-5p,hsa-miR-660-3p,hsa-miR-186-3p,hsa-miR-518b,hsa-miR-597-3p,hsa-miR-182-3p,hsa-miR-29b-1-5p,hsa-miR-183-5p,hsa-miR-519d-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGPEP1,0.86,1,1.23,17,hsa-miR-625-5p,hsa-miR-939-5p,hsa-miR-149-3p,hsa-miR-19b-2-5p,hsa-miR-19a-5p,hsa-miR-590-3p,hsa-miR-377-5p,hsa-miR-411-5p,hsa-miR-610,hsa-miR-924,hsa-miR-219a-2-3p,hsa-miR-876-5p,hsa-miR-450a-1-3p,hsa-miR-30c-2-3p,hsa-miR-30c-1-3p,hsa-miR-32-5p,hsa-miR-363-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGRMC1,0.953,1,2.26,2,hsa-miR-577,hsa-miR-877-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGRMC2,0.75,1,1.28,2,hsa-miR-155-5p,hsa-miR-578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHACTR4,0.954,1,1.63,7,hsa-miR-877-3p,hsa-miR-519e-5p,hsa-miR-454-5p,hsa-miR-30c-2-3p,hsa-miR-30c-1-3p,hsa-miR-149-3p,hsa-miR-202-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHAX,0.886,1,1.25,18,hsa-miR-769-3p,hsa-miR-299-5p,hsa-miR-522-3p,hsa-miR-545-5p,hsa-miR-450a-1-3p,hsa-miR-30c-2-3p,hsa-miR-30c-1-3p,hsa-miR-149-3p,hsa-miR-510-5p,hsa-miR-362-3p,hsa-miR-411-5p,hsa-miR-664a-5p,hsa-miR-556-3p,hsa-miR-616-5p,hsa-miR-141-5p,hsa-miR-365b-5p,hsa-miR-365a-5p,hsa-miR-339-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHC1,0.99,1,4.21,1,hsa-miR-149-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHF19,0.994,1,2.08,7,hsa-miR-192-5p,hsa-miR-96-5p,hsa-miR-541-3p,hsa-miR-548e-5p,hsa-miR-548x-3p,hsa-miR-548j-3p,hsa-miR-424-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHF20,0.778,1,1.35,2,hsa-miR-588,hsa-miR-411-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHF21A,0.719,1,1.2,2,hsa-miR-335-5p,hsa-miR-759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHF5A,0.708,1,1.17,4,hsa-miR-924,hsa-miR-377-5p,hsa-miR-558,hsa-miR-202-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHKB,0.729,1,1.2,1,hsa-miR-100-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHKG1,0.805,1,1.5,1,hsa-miR-211-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHLDA1,0.75,1,1.25,3,hsa-miR-31-5p,hsa-miR-595,hsa-miR-648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHLDA2,0.941,1,1.91,3,hsa-miR-450b-5p,hsa-miR-106a-3p,hsa-miR-548e-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHLDA3,1,1,2.96,6,hsa-miR-769-3p,hsa-miR-625-5p,hsa-miR-648,hsa-miR-595,hsa-miR-122-5p,hsa-miR-616-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHOX2A,0.805,1,1.5,1,hsa-miR-122-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHOX2B,0.805,1,1.5,1,hsa-miR-9-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYHIP,0.885,1,1.54,4,hsa-miR-335-5p,hsa-miR-149-3p,hsa-miR-939-5p,hsa-miR-424-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYKPL,0.955,1,2.86,1,hsa-miR-608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIAS2,0.951,1,1.84,4,hsa-miR-605-3p,hsa-miR-660-3p,hsa-miR-133b,hsa-miR-215-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIAS4,0.905,1,1.71,3,hsa-miR-604,hsa-miR-135a-5p,hsa-miR-135b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIEZO1,0.938,1,2.56,1,hsa-miR-625-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIGP,0.995,1,2.6,4,hsa-miR-411-5p,hsa-miR-590-3p,hsa-miR-876-3p,hsa-miR-452-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIGS,0.991,1,3.16,2,hsa-miR-877-3p,hsa-miR-516b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIGV,0.681,1,1.05,1,hsa-miR-552-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
