Gene Symbol,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9,microRNA 10,microRNA 11,microRNA 12,microRNA 13,microRNA 14,microRNA 15,microRNA 16,microRNA 17,microRNA 18,microRNA 19,microRNA 20,microRNA 21,microRNA 22,microRNA 23,microRNA 24,microRNA 25,microRNA 26,microRNA 27,microRNA 28,microRNA 29,microRNA 30,microRNA 31,microRNA 32,microRNA 33,microRNA 34,microRNA 35,microRNA 36,microRNA 37,microRNA 38,microRNA 39,microRNA 40,microRNA 41,microRNA 42,microRNA 43,microRNA 44,microRNA 45,microRNA 46,microRNA 47,microRNA 48,microRNA 49,microRNA 50,microRNA 51,microRNA 52,microRNA 53,microRNA 54,microRNA 55,microRNA 56,microRNA 57
PDLIM1,0.479,0.887,0.602,1,hsa-miR-504-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDLIM3,0.475,0.887,0.924,7,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-664b-3p,hsa-miR-670-3p,hsa-miR-588,hsa-miR-203b-3p,hsa-miR-433-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDZD2,0.458,0.887,0.752,2,hsa-miR-335-5p,hsa-miR-574-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEF1,0.479,0.887,0.602,1,hsa-miR-760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGM3,0.472,0.887,0.936,9,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-944,hsa-miR-340-5p,hsa-miR-20a-3p,hsa-miR-588,hsa-miR-676-5p,hsa-miR-557,hsa-miR-507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHC2,0.475,0.887,0.924,7,hsa-miR-155-5p,hsa-miR-373-3p,hsa-miR-7-5p,hsa-miR-192-5p,hsa-miR-205-5p,hsa-miR-149-3p,hsa-miR-605-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHGDH,0.483,0.887,0.853,3,hsa-miR-155-5p,hsa-miR-296-3p,hsa-miR-759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI4K2B,0.472,0.887,0.936,9,hsa-miR-424-5p,hsa-miR-503-5p,hsa-miR-510-3p,hsa-miR-646,hsa-miR-506-3p,hsa-miR-660-3p,hsa-miR-450a-1-3p,hsa-miR-18a-3p,hsa-miR-186-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIGQ,0.463,0.887,0.865,4,hsa-miR-516b-3p,hsa-miR-516a-3p,hsa-miR-660-3p,hsa-miR-761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIK3AP1,0.479,0.887,0.602,1,hsa-miR-32-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITX2,0.458,0.887,0.752,2,hsa-miR-369-3p,hsa-miR-494-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITX3,0.458,0.887,0.752,2,hsa-miR-133b,hsa-miR-575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJA2,0.479,0.887,0.602,1,hsa-miR-335-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLCB4,0.479,0.887,0.602,1,hsa-miR-9-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLPP6,0.479,0.887,0.602,1,hsa-miR-198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLSCR1,0.457,0.887,0.94,12,hsa-miR-132-3p,hsa-miR-18a-3p,hsa-miR-628-5p,hsa-miR-367-5p,hsa-miR-574-5p,hsa-miR-578,hsa-miR-627-3p,hsa-miR-203b-3p,hsa-miR-26a-2-3p,hsa-miR-26a-1-3p,hsa-miR-506-5p,hsa-miR-892c-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNKD,0.463,0.887,0.903,6,hsa-miR-513a-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-203b-3p,hsa-miR-563,hsa-miR-29b-1-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLDIP3,0.463,0.887,0.865,4,hsa-miR-488-3p,hsa-miR-424-5p,hsa-miR-548e-5p,hsa-miR-545-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POMT2,0.479,0.887,0.602,1,hsa-miR-542-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POR,0.479,0.887,0.602,1,hsa-miR-335-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPEF1,0.458,0.887,0.752,2,hsa-miR-627-3p,hsa-miR-888-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPFIA4,0.483,0.887,0.853,3,hsa-miR-335-5p,hsa-miR-30c-2-3p,hsa-miR-30c-1-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPFIBP1,0.457,0.887,0.94,12,hsa-miR-335-5p,hsa-miR-155-5p,hsa-miR-339-5p,hsa-miR-149-3p,hsa-miR-30c-1-3p,hsa-miR-30c-2-3p,hsa-miR-340-3p,hsa-miR-450a-1-3p,hsa-miR-451b,hsa-miR-513b-5p,hsa-miR-616-5p,hsa-miR-624-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPP1R3F,0.458,0.887,0.752,2,hsa-miR-548az-5p,hsa-miR-548n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREB,0.479,0.887,0.602,1,hsa-miR-183-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRR15,0.458,0.887,0.752,2,hsa-miR-103a-2-5p,hsa-miR-205-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRR26,0.458,0.887,0.752,2,hsa-miR-664b-3p,hsa-miR-579-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSD,0.458,0.887,0.752,2,hsa-let-7c-3p,hsa-miR-181a-2-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSIP1,0.479,0.887,0.602,1,hsa-miR-155-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSMB5,0.477,0.887,0.953,12,hsa-miR-676-5p,hsa-miR-106a-3p,hsa-miR-593-5p,hsa-miR-122-5p,hsa-miR-183-5p,hsa-miR-454-3p,hsa-miR-651-3p,hsa-miR-488-3p,hsa-miR-506-3p,hsa-miR-103a-2-5p,hsa-miR-192-5p,hsa-miR-215-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSMD5,0.479,0.887,0.602,1,hsa-miR-32-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTGER4,0.458,0.887,0.752,2,hsa-miR-32-5p,hsa-miR-519d-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTPRT,0.475,0.887,0.924,7,hsa-miR-335-5p,hsa-miR-215-5p,hsa-miR-630,hsa-miR-186-3p,hsa-miR-103a-2-5p,hsa-miR-583,hsa-miR-211-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUS10,0.483,0.887,0.853,3,hsa-miR-335-5p,hsa-miR-367-5p,hsa-miR-744-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYGL,0.479,0.887,0.602,1,hsa-miR-155-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QRICH1,0.479,0.887,0.602,1,hsa-miR-155-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QSOX1,0.477,0.887,0.965,17,hsa-miR-588,hsa-miR-186-3p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-519d-3p,hsa-miR-646,hsa-miR-921,hsa-miR-106a-3p,hsa-miR-122-5p,hsa-miR-454-3p,hsa-miR-580-3p,hsa-miR-607,hsa-miR-873-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAB27B,0.479,0.887,0.602,1,hsa-miR-155-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAD51AP1,0.458,0.887,0.752,2,hsa-miR-346,hsa-miR-18b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RASL10A,0.479,0.887,0.602,1,hsa-miR-335-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RASSF1,0.458,0.887,0.752,2,hsa-miR-373-3p,hsa-miR-129-2-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBM17,0.479,0.887,0.602,1,hsa-miR-7-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBM3,0.463,0.887,0.903,6,hsa-miR-329-5p,hsa-miR-511-5p,hsa-miR-653-3p,hsa-miR-224-5p,hsa-miR-502-3p,hsa-miR-501-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBM42,0.479,0.887,0.602,1,hsa-miR-155-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBMY1D,0.479,0.887,0.602,1,hsa-miR-335-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFX7,0.483,0.887,0.853,3,hsa-miR-205-5p,hsa-miR-32-3p,hsa-miR-454-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHOH,0.479,0.887,0.903,5,hsa-miR-9-5p,hsa-miR-590-3p,hsa-miR-340-3p,hsa-miR-186-3p,hsa-miR-676-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPK4,0.458,0.887,0.752,2,hsa-miR-545-5p,hsa-miR-548an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMDN3,0.479,0.887,0.602,1,hsa-miR-505-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNF135,0.483,0.887,0.853,3,hsa-miR-921,hsa-miR-661,hsa-miR-612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNF144A,0.479,0.887,0.602,1,hsa-miR-335-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNF2,0.463,0.887,0.903,6,hsa-miR-200b-3p,hsa-miR-155-5p,hsa-miR-664a-5p,hsa-miR-548as-3p,hsa-miR-548x-3p,hsa-miR-548j-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNF24,0.459,0.887,0.933,10,hsa-miR-548ax,hsa-miR-548ao-5p,hsa-miR-450a-1-3p,hsa-miR-30c-2-3p,hsa-miR-30c-1-3p,hsa-miR-149-3p,hsa-miR-664a-5p,hsa-miR-221-5p,hsa-miR-340-3p,hsa-miR-340-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNFT1,0.463,0.887,0.865,4,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-889-3p,hsa-miR-202-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNPEPL1,0.483,0.887,0.853,3,hsa-miR-365b-5p,hsa-miR-365a-5p,hsa-miR-339-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBO1,0.475,0.887,0.924,7,hsa-miR-876-3p,hsa-miR-921,hsa-miR-508-3p,hsa-miR-548as-3p,hsa-miR-299-5p,hsa-miR-142-5p,hsa-miR-330-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL19,0.458,0.887,0.752,2,hsa-miR-877-3p,hsa-miR-506-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL39,0.479,0.887,0.602,1,hsa-miR-155-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS29,0.479,0.887,0.602,1,hsa-miR-96-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSU1,0.479,0.887,0.602,1,hsa-miR-7-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTKN2,0.458,0.887,0.752,2,hsa-miR-215-5p,hsa-miR-192-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYR2,0.479,0.887,0.602,1,hsa-miR-335-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S100A1,0.479,0.887,0.602,1,hsa-miR-132-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMD1,0.458,0.887,0.752,2,hsa-miR-211-5p,hsa-miR-132-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
