Gene Symbol,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9,microRNA 10,microRNA 11,microRNA 12,microRNA 13,microRNA 14,microRNA 15,microRNA 16,microRNA 17,microRNA 18,microRNA 19,microRNA 20,microRNA 21,microRNA 22,microRNA 23,microRNA 24,microRNA 25,microRNA 26,microRNA 27,microRNA 28,microRNA 29,microRNA 30,microRNA 31,microRNA 32,microRNA 33,microRNA 34,microRNA 35,microRNA 36,microRNA 37,microRNA 38,microRNA 39,microRNA 40,microRNA 41,microRNA 42,microRNA 43,microRNA 44,microRNA 45,microRNA 46,microRNA 47,microRNA 48,microRNA 49,microRNA 50,microRNA 51,microRNA 52,microRNA 53,microRNA 54,microRNA 55,microRNA 56,microRNA 57,microRNA 58,microRNA 59,microRNA 60,microRNA 61,microRNA 62,microRNA 63,microRNA 64,microRNA 65,microRNA 66,microRNA 67,microRNA 68,microRNA 69,microRNA 70,microRNA 71,microRNA 72,microRNA 73,microRNA 74,microRNA 75,microRNA 76,microRNA 77,microRNA 78,microRNA 79,microRNA 80,microRNA 81,microRNA 82,microRNA 83,microRNA 84,microRNA 85,microRNA 86,microRNA 87,microRNA 88,microRNA 89,microRNA 90,microRNA 91,microRNA 92,microRNA 93,microRNA 94,microRNA 95,microRNA 96,microRNA 97,microRNA 98,microRNA 99,microRNA 100,microRNA 101,microRNA 102,microRNA 103,microRNA 104,microRNA 105,microRNA 106,microRNA 107,microRNA 108,microRNA 109,microRNA 110,microRNA 111,microRNA 112,microRNA 113,microRNA 114,microRNA 115,microRNA 116,microRNA 117
GPX2,0.444,0.647,0.509,1,hsa-miR-17-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRB7,0.444,0.647,0.509,1,hsa-miR-26b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRHPR,0.444,0.647,0.509,1,hsa-miR-92b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRM7,0.444,0.647,0.509,1,hsa-miR-34a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTPBP1,0.421,0.647,0.89,8,hsa-miR-103a-3p,hsa-miR-16-5p,hsa-miR-423-5p,hsa-miR-484,hsa-miR-331-3p,hsa-miR-100-5p,hsa-miR-491-5p,hsa-miR-939-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTSE1,0.444,0.647,0.509,1,hsa-miR-484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTSF1L,0.444,0.647,0.509,1,hsa-miR-148b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3F3A,0.443,0.647,0.865,5,hsa-miR-34a-5p,hsa-miR-100-5p,hsa-miR-548l,hsa-miR-548n,hsa-miR-935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HACL1,0.444,0.647,0.509,1,hsa-miR-204-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAL,0.43,0.647,0.827,4,hsa-miR-620,hsa-miR-583,hsa-miR-216a-3p,hsa-miR-128-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAUS3,0.442,0.647,0.968,36,hsa-miR-590-3p,hsa-miR-215-5p,hsa-miR-103a-3p,hsa-miR-16-5p,hsa-miR-450a-1-3p,hsa-miR-30b-3p,hsa-miR-30c-1-3p,hsa-miR-149-3p,hsa-miR-514b-3p,hsa-miR-514a-3p,hsa-miR-424-5p,hsa-miR-195-5p,hsa-miR-15b-5p,hsa-miR-15a-5p,hsa-miR-422a,hsa-miR-378h,hsa-miR-378f,hsa-miR-378e,hsa-miR-378c,hsa-miR-378b,hsa-miR-378a-3p,hsa-miR-562,hsa-miR-196a-3p,hsa-miR-661,hsa-miR-612,hsa-miR-766-3p,hsa-miR-508-5p,hsa-miR-20a-3p,hsa-miR-377-5p,hsa-miR-455-3p,hsa-miR-485-5p,hsa-miR-650,hsa-miR-890,hsa-miR-23a-5p,hsa-miR-23b-5p,hsa-miR-660-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HERC5,0.444,0.647,0.509,1,hsa-miR-1-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HESX1,0.444,0.647,0.509,1,hsa-miR-215-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGD,0.444,0.647,0.509,1,hsa-miR-26b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGD2A,0.443,0.647,0.865,5,hsa-miR-181a-5p,hsa-miR-181b-5p,hsa-miR-181c-5p,hsa-miR-181d-5p,hsa-miR-891a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H3E,0.421,0.647,0.89,8,hsa-miR-34a-5p,hsa-miR-876-5p,hsa-miR-760,hsa-miR-372-5p,hsa-miR-616-5p,hsa-miR-373-5p,hsa-miR-371b-5p,hsa-miR-340-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H4I,0.444,0.647,0.509,1,hsa-miR-34a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMOX1,0.417,0.647,0.919,13,hsa-miR-16-5p,hsa-miR-196a-5p,hsa-miR-148b-3p,hsa-miR-128-3p,hsa-miR-124-3p,hsa-miR-122-5p,hsa-miR-1-3p,hsa-miR-26b-5p,hsa-miR-24-3p,hsa-miR-520a-5p,hsa-miR-650,hsa-miR-660-3p,hsa-miR-216a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNF1A,0.444,0.647,0.509,1,hsa-miR-15b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNRNPA1L2,0.426,0.647,0.948,22,hsa-miR-1-3p,hsa-miR-30a-5p,hsa-miR-129-5p,hsa-miR-496,hsa-miR-647,hsa-miR-513b-5p,hsa-miR-367-5p,hsa-miR-646,hsa-miR-503-5p,hsa-miR-424-5p,hsa-miR-195-5p,hsa-miR-16-5p,hsa-miR-15b-5p,hsa-miR-15a-5p,hsa-miR-649,hsa-miR-668-3p,hsa-miR-760,hsa-miR-149-5p,hsa-miR-664a-5p,hsa-miR-326,hsa-miR-370-3p,hsa-miR-339-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOXB1,0.444,0.647,0.509,1,hsa-miR-26b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOXB9,0.444,0.647,0.509,1,hsa-miR-215-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSD11B1,0.444,0.647,0.509,1,hsa-miR-26b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSD17B3,0.444,0.647,0.509,1,hsa-miR-181a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSPBAP1,0.444,0.647,0.509,1,hsa-miR-215-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTR1A,0.444,0.647,0.509,1,hsa-miR-135a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTR1D,0.444,0.647,0.509,1,hsa-miR-196b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTRA3,0.444,0.647,0.509,1,hsa-miR-124-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFFO2,0.422,0.647,0.926,14,hsa-miR-192-3p,hsa-miR-548s,hsa-miR-149-3p,hsa-miR-103b,hsa-miR-574-5p,hsa-miR-513b-5p,hsa-miR-223-5p,hsa-miR-23a-5p,hsa-miR-23b-5p,hsa-miR-323a-3p,hsa-miR-497-3p,hsa-miR-92b-5p,hsa-miR-185-5p,hsa-miR-711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFNA6,0.444,0.647,0.509,1,hsa-miR-216b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL13RA1,0.444,0.647,0.509,1,hsa-miR-143-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL24,0.444,0.647,0.509,1,hsa-miR-205-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INHBB,0.444,0.647,0.509,1,hsa-miR-34a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INHBE,0.444,0.647,0.509,1,hsa-miR-98-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVS,0.43,0.647,0.827,4,hsa-miR-574-5p,hsa-miR-92b-5p,hsa-miR-190a-5p,hsa-miR-511-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IQCC,0.444,0.647,0.509,1,hsa-miR-215-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRF2BP1,0.444,0.647,0.509,1,hsa-miR-744-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRF7,0.444,0.647,0.509,1,hsa-miR-146a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRF8,0.444,0.647,0.509,1,hsa-miR-646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRGQ,0.435,0.647,0.963,33,hsa-miR-29c-3p,hsa-miR-34a-5p,hsa-miR-744-5p,hsa-miR-331-3p,hsa-miR-92a-3p,hsa-miR-18a-5p,hsa-let-7e-5p,hsa-miR-455-3p,hsa-miR-92b-3p,hsa-miR-367-3p,hsa-miR-32-5p,hsa-miR-25-3p,hsa-miR-938,hsa-miR-18a-3p,hsa-miR-593-3p,hsa-miR-196a-3p,hsa-miR-339-5p,hsa-miR-451b,hsa-miR-10b-5p,hsa-miR-361-3p,hsa-miR-485-5p,hsa-miR-619-3p,hsa-miR-324-3p,hsa-miR-661,hsa-miR-612,hsa-miR-766-3p,hsa-miR-508-5p,hsa-miR-25-5p,hsa-miR-377-5p,hsa-miR-658,hsa-miR-149-3p,hsa-miR-558,hsa-miR-650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRX4,0.444,0.647,0.509,1,hsa-miR-215-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISG20,0.444,0.647,0.509,1,hsa-miR-1-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISYNA1,0.444,0.647,0.509,1,hsa-miR-197-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITGA1,0.441,0.647,0.925,11,hsa-miR-1-3p,hsa-miR-190a-3p,hsa-miR-223-5p,hsa-miR-511-3p,hsa-miR-297,hsa-miR-567,hsa-miR-574-5p,hsa-miR-7-2-3p,hsa-miR-7-1-3p,hsa-miR-576-5p,hsa-miR-548s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITSN1,0.444,0.647,0.509,1,hsa-miR-296-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCNA6,0.444,0.647,0.509,1,hsa-miR-127-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCNH4,0.444,0.647,0.509,1,hsa-miR-26b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCNK13,0.444,0.647,0.509,1,hsa-miR-7-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCNMB1,0.433,0.647,0.954,24,hsa-miR-655-3p,hsa-miR-374c-5p,hsa-miR-619-3p,hsa-miR-512-3p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-372-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-302a-3p,hsa-miR-93-5p,hsa-miR-20b-5p,hsa-miR-20a-5p,hsa-miR-17-5p,hsa-miR-106b-5p,hsa-miR-106a-5p,hsa-miR-432-5p,hsa-miR-20a-3p,hsa-miR-640,hsa-miR-660-3p,hsa-miR-764,hsa-miR-552-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDELC1,0.444,0.647,0.509,1,hsa-miR-26b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDELR1,0.414,0.647,0.956,33,hsa-miR-1-3p,hsa-miR-96-5p,hsa-miR-877-3p,hsa-miR-769-3p,hsa-miR-92a-3p,hsa-let-7b-5p,hsa-miR-340-5p,hsa-miR-128-1-5p,hsa-miR-548ad-3p,hsa-miR-186-5p,hsa-miR-544a,hsa-miR-150-3p,hsa-miR-17-3p,hsa-miR-26a-2-3p,hsa-miR-26a-1-3p,hsa-miR-744-3p,hsa-miR-122-5p,hsa-miR-504-3p,hsa-miR-107,hsa-miR-103a-3p,hsa-miR-367-5p,hsa-miR-106a-3p,hsa-miR-215-3p,hsa-miR-301b-3p,hsa-miR-130b-3p,hsa-miR-130a-3p,hsa-miR-26b-5p,hsa-miR-26a-5p,hsa-miR-660-3p,hsa-miR-452-3p,hsa-miR-331-3p,hsa-miR-34c-3p,hsa-miR-548s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDM5D,0.444,0.647,0.509,1,hsa-miR-26b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHDRBS2,0.444,0.647,0.509,1,hsa-miR-148b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHDRBS3,0.444,0.647,0.509,1,hsa-miR-215-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHK,0.444,0.647,0.509,1,hsa-miR-26b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIF18A,0.444,0.647,0.509,1,hsa-miR-215-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIF7,0.444,0.647,0.509,1,hsa-miR-124-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLF17,0.443,0.647,0.865,5,hsa-miR-9-5p,hsa-miR-450a-1-3p,hsa-miR-24-3p,hsa-miR-342-3p,hsa-miR-383-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLHL2,0.444,0.647,0.509,1,hsa-miR-23b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLHL22,0.444,0.647,0.509,1,hsa-miR-193b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLHL34,0.444,0.647,0.509,1,hsa-miR-16-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLHL36,0.426,0.647,0.948,22,hsa-miR-92a-3p,hsa-miR-218-2-3p,hsa-miR-301b-3p,hsa-miR-130b-3p,hsa-miR-130a-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-93-5p,hsa-miR-20b-5p,hsa-miR-17-5p,hsa-miR-106b-5p,hsa-miR-106a-5p,hsa-miR-20a-5p,hsa-miR-323a-5p,hsa-miR-372-5p,hsa-miR-616-5p,hsa-miR-373-5p,hsa-miR-371b-5p,hsa-miR-149-3p,hsa-miR-30b-3p,hsa-miR-433-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLRC2,0.444,0.647,0.509,1,hsa-miR-26b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRT19,0.444,0.647,0.509,1,hsa-miR-193b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRT4,0.444,0.647,0.509,1,hsa-miR-26b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRT5,0.444,0.647,0.509,1,hsa-miR-196a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRT6B,0.444,0.647,0.509,1,hsa-miR-30a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRTAP19-1,0.443,0.647,0.865,5,hsa-let-7c-5p,hsa-let-7a-5p,hsa-miR-642a-3p,hsa-miR-516b-3p,hsa-miR-516a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMA4,0.43,0.647,0.827,4,hsa-miR-124-3p,hsa-miR-103b,hsa-miR-761,hsa-miR-214-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMC3,0.443,0.647,0.865,5,hsa-miR-196a-3p,hsa-miR-508-5p,hsa-miR-612,hsa-miR-661,hsa-miR-766-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
