T: GeneID,t-statistic,p-value,q-value,Fold change,neglog10p,log2FC
HADHA,3.642848066,0.001435217,0.005617332,1.656448336,2.843082325,0.728093207
GPNMB,3.649309208,0.001413003,0.005544422,2.018031914,2.849856961,1.01294899
IDH2,3.660937319,0.001373873,0.005404599,2.452826649,2.862053447,1.294445276
ANO6,-3.671260796,0.001340029,0.005284908,0.551532094,2.872885962,-0.858483255
ITGA10,-3.67337027,0.001333215,0.005271483,0.345531243,2.875099958,-1.53311193
SERPINC1,3.675645709,0.001325903,0.005256014,1.597684689,2.877488332,0.675982714
SLC2A1,3.692452428,0.001273107,0.005059698,1.742378856,2.895135255,0.801058352
HRAS,-3.696209938,0.001261589,0.005026848,0.321898453,2.899082049,-1.635322452
ENDOD1,-3.697102064,0.00125887,0.005026848,0.281864934,2.900019192,-1.826924086
KIAA2013,-3.70406986,0.001237828,0.004957727,0.287798877,2.90733958,-1.796867132
TMX4,-3.708605085,0.001224319,0.004916358,0.321712026,2.912105247,-1.636158228
PDIA4,-3.710994302,0.001217261,0.004900745,0.512773596,2.914616159,-0.963606119
ASPH,-3.713572669,0.00120969,0.004882976,0.247460312,2.917326085,-2.01473093
TOR1AIP1,-3.714622625,0.001206619,0.004882976,0.242608298,2.918429681,-2.043299198
SYNGR2,-3.722067955,0.001185069,0.004808704,0.638041057,2.926256494,-0.648278832
SDCBP,3.728046682,0.001168038,0.004752071,1.55397811,2.93254296,0.635966182
ENPP4,-3.7321961,0.001156361,0.004716975,0.314044547,2.936906684,-1.670958877
TLR2,3.73693078,0.001143177,0.004675532,2.688898068,2.941886615,1.427015066
TMEM47,-3.741931203,0.001129414,0.004631496,0.458007235,2.94714688,-1.126557708
NINJ1,-3.749337926,0.001109328,0.004561226,0.371067616,2.954940024,-1.430245996
TLR3,-3.751679721,0.001103051,0.004547512,0.697952093,2.957404373,-0.51880008
TPCN1,-3.753223281,0.001098933,0.004542648,0.33290581,2.959028811,-1.586814046
CALHM2,-3.758791263,0.001084204,0.004493777,0.514414823,2.964889188,-0.958995879
SDK1,-3.759549506,0.001082213,0.004493777,0.357606219,2.965687327,-1.483556271
HBG1,3.766589413,0.001063902,0.004433401,4.030594164,2.973098534,2.010992527
NAGK,3.796321304,0.000989884,0.00413611,1.656730452,3.004415718,0.728338897
DUS4L-BCAP29,-3.801374102,0.000977821,0.004096779,0.246377619,3.009740609,-2.02105689
SH3BGRL,-3.805335232,0.000968466,0.00406861,0.525657714,3.013915575,-0.92780441
IGHV5-10-1,3.810956881,0.000955341,0.004024407,2.748599078,3.01984149,1.458696485
LAMP1,-3.81384184,0.000948674,0.004007241,0.809425074,3.022882952,-0.305030555
ATP1B3,-3.826695563,0.000919524,0.003894752,0.6124806,3.036436854,-0.707263947
GNAI2,-3.840731936,0.000888704,0.003774548,0.674161039,3.051243104,-0.568834841
MGLL,3.846327382,0.000876704,0.003733842,2.827299457,3.057146951,1.499424696
SPTB,3.858874375,0.000850377,0.00363172,2.068406994,3.070388517,1.048520088
F5,3.859511604,0.000849061,0.00363172,4.023936078,3.071061131,2.008607388
EEF2,3.881512598,0.00080484,0.003456343,2.126657407,3.094290186,1.088587642
GPD1L,-3.896392967,0.000776233,0.003342775,0.562632587,3.110007924,-0.829734981
IGKV2-40,3.909554836,0.00075177,0.003246472,2.142328541,3.123914816,1.099179745
SLC9A6,-3.934275465,0.000707872,0.003065462,0.28215344,3.150045306,-1.825448155
SIRPA,3.93560305,0.000705588,0.003064153,2.20903264,3.151448982,1.143414736
ADAM17,-3.941067103,0.000696263,0.003032177,0.46769017,3.157226599,-1.096374989
SLC12A4,-3.94690708,0.000686432,0.002997808,0.37588852,3.163402401,-1.41162324
