T: GeneID,t-statistic,p-value,q-value,Fold change,neglog10p,log2FC,,,
NDUFA5,-1.099599475,0.293077401,0.409529672,0.584116234,0.533017668,-0.775672615,,,
MBLAC2,-1.099625722,0.293066412,0.409529672,0.725929151,0.533033953,-0.462099344,,,
EPHX1,-1.103358033,0.2915069,0.408585374,0.891196453,0.535351161,-0.166184604,,,
AKR1C1,-1.105218284,0.290731966,0.407868983,0.813020325,0.536507215,-0.298636675,,,
HSPA2,-1.109194536,0.289080805,0.405920912,0.74559104,0.538980745,-0.423543572,,,
ACTN1,-1.110508885,0.288536585,0.405525055,0.867825446,0.539799113,-0.204523206,,,
PLCD1,-1.114093557,0.287056276,0.404179419,0.828361872,0.542032954,-0.271666944,,,
RPL23,-1.116763987,0.285957273,0.402999038,0.776174483,0.543698853,-0.365547091,,,
COMT,-1.117421035,0.28568736,0.402986003,0.601563658,0.544108974,-0.733210683,,,
DMD,-1.117922592,0.285481454,0.402986003,0.72276144,0.5444221,-0.468408555,,,
SCARA3,-1.123424844,0.283230018,0.400983158,0.679043941,0.54786072,-0.558423162,,,
ANKH,-1.133669152,0.27907442,0.39582482,0.835622041,0.554279969,-0.259077549,,,
ERAP1,-1.141762018,0.275824763,0.391574916,0.675724334,0.559366746,-0.565493286,,,
MPO,-1.145338596,0.274397916,0.389907333,0.688245538,0.561619191,-0.539004743,,,
NEXN,-1.150002336,0.27254591,0.387631993,0.730588391,0.564560331,-0.452869266,,,
SLC25A6,-1.151866233,0.271808448,0.386939097,0.790547627,0.56573705,-0.339075714,,,
TUBA4A,-1.160412808,0.268446679,0.38250559,0.58652092,0.571141965,-0.769745529,,,
CISD1,-1.186540235,0.258369424,0.370537226,0.892480079,0.587758883,-0.164108127,,,
LAMTOR1,-1.190070044,0.257030951,0.369302835,0.593716726,0.590014576,-0.752153337,,,
LAMB1,-1.201532859,0.252721801,0.364126658,0.785450414,0.597357293,-0.348407894,,,
BSG,-1.20375106,0.251894519,0.363598199,0.906851605,0.598781283,-0.141061604,,,
MFGE8,-1.206693772,0.25080032,0.362710285,0.831710626,0.600671914,-0.265846431,,,
PLPP1,-1.218675896,0.246383597,0.357997219,0.797420462,0.608388208,-0.326587468,,,
PRKAR1A,-1.231541981,0.241709766,0.353456109,0.640354953,0.616705803,-0.643056273,,,
ARPC3,-1.250692684,0.234883691,0.344852978,0.642248195,0.629147138,-0.638797164,,,
CRYZ,-1.257549267,0.23247748,0.34222993,0.552104307,0.63361911,-0.856987238,,,
RHBDF1,-1.25970405,0.231725381,0.341513288,0.718883862,0.635026395,-0.476169378,,,
RAP1B,-1.260695373,0.231380028,0.341329697,0.8960182,0.635674131,-0.158400059,,,
LTBP2,-1.263778859,0.230308452,0.340073416,0.790625185,0.637690124,-0.338934183,,,
SNTB1,-1.274034876,0.2267729,0.336137012,0.682131977,0.644408846,-0.551877201,,,
STIP1,-1.281151184,0.22434546,0.333177792,0.662040449,0.649082714,-0.595008731,,,
CD46,-1.285482657,0.222878241,0.331317078,0.590155423,0.651932328,-0.760833144,,,
STX4,-1.28959222,0.221493363,0.329970311,0.810082444,0.654639283,-0.303859353,,,
GDI1,-1.2952463,0.21959938,0.328019943,0.632797809,0.65836889,-0.660183489,,,
NCKAP1,-1.297895716,0.218716412,0.327016995,0.722061545,0.660118628,-0.469806284,,,
PHB1,-1.302735896,0.217110762,0.325245386,0.575071941,0.663318649,-0.798185647,,,
RAB2A,-1.304177831,0.216634277,0.324846355,0.909656029,0.664272826,-0.136606976,,,
NDUFB5,-1.309315208,0.21494354,0.323251666,0.602050287,0.667675603,-0.732044101,,,
PSMB7,-1.321715412,0.210906769,0.317799089,0.806699764,0.675909481,-0.30989626,,,
TPD52L2,-1.323650319,0.210282491,0.317477277,0.763430643,0.677196886,-0.389431,,,
SAMM50,-1.329071534,0.208541425,0.315156445,0.475442498,0.680807664,-1.072657228,,,
SPTAN1,-1.329153204,0.208515286,0.315156445,0.510560472,0.680862101,-0.969846249,,,
TMED1,-1.33306241,0.20726727,0.314152157,0.820044539,0.683469272,-0.286225826,,,
SLC44A1,-1.333114225,0.20725077,0.314152157,0.84162845,0.683503848,-0.248744622,,,
TFG,-1.338648326,0.205494583,0.312077236,0.706986576,0.687199621,-0.500245273,,,
WDR1,-1.343209516,0.204056329,0.310503035,0.872627842,0.690249932,-0.19656159,,,
PFN2,-1.348475887,0.202406003,0.308599291,0.485577971,0.69377661,-1.042225122,,,
CORO1B,-1.349048791,0.202227136,0.308599291,0.769200015,0.69416057,-0.378569305,,,
SNCG,-1.352159978,0.201258053,0.307759594,0.671758762,0.696246733,-0.573984861,,,
CTNNA1,-1.354086938,0.200659756,0.307452907,0.622528641,0.69753972,-0.683787882,,,
H4C1,-1.357351015,0.199649643,0.306512759,0.598547793,0.699731462,-0.740461648,,,
ESYT1,-1.36278279,0.197977998,0.304854567,0.584928475,0.703383071,-0.773667872,,,
COL3A1,-1.364861866,0.197341221,0.304480566,0.702652912,0.70478219,-0.509115875,,,
DTNA,-1.371258103,0.195392786,0.302077247,0.572033076,0.709091475,-0.805829525,,,
ADH5,-1.374679616,0.194357067,0.300776802,0.846372915,0.711399663,-0.240634635,,,
HEXA,-1.38717563,0.190612984,0.295574396,0.658443421,0.719847521,-0.602868617,,,
CIT,-1.397977732,0.187424891,0.290922571,0.748307802,0.727172734,-0.418296278,,,
GNA13,-1.398261574,0.187341721,0.290922571,0.84145925,0.727365496,-0.249034688,,,
PSMB5,-1.399583844,0.186954681,0.290776596,0.676842513,0.728263657,-0.563107908,,,
SLC25A5,-1.400861775,0.186581253,0.290776596,0.618297722,0.729131995,-0.693626404,,,
ALDH9A1,-1.402451415,0.186117608,0.29035098,0.852362263,0.730212538,-0.230461374,,,
EFEMP1,-1.407369935,0.18468912,0.288413515,0.774558907,0.733558688,-0.368553132,,,
ARL8B,-1.409798159,0.183987272,0.28760801,0.733144314,0.735212221,-0.447830886,,,
PALLD,-1.419102742,0.181318496,0.283723072,0.733996161,0.741557891,-0.446155578,,,
DAD1,-1.419568593,0.181185735,0.283723072,0.586587198,0.741875997,-0.76958251,,,
SYNJ2BP,-1.421092036,0.180752144,0.283410562,0.563787282,0.742916544,-0.82677716,,,
PLS3,-1.423301515,0.180124842,0.282713711,0.870856907,0.744426387,-0.19949241,,,
PSMA5,-1.42332324,0.180118683,0.282713711,0.823230483,0.744441237,-0.280631691,,,
PHB2,-1.426742111,0.179151643,0.282045255,0.563906577,0.746779203,-0.826471925,,,
CAPNS1,-1.428651221,0.178613542,0.281484747,0.856458982,0.748085616,-0.223543942,,,
LAMA5,-1.432692763,0.17747887,0.28026796,0.653375517,0.750853346,-0.614015698,,,
GJA4,-1.433681023,0.177202337,0.280117395,0.527439146,0.751530556,-0.922923446,,,
ISLR,-1.439930284,0.175462052,0.278020589,0.643642096,0.755816796,-0.63566941,,,
ABHD14B,-1.45078658,0.172473014,0.274042424,0.585593181,0.763278848,-0.77202934,,,
MOGS,-1.47636788,0.165599399,0.264480032,0.595288038,0.780941243,-0.748340189,,,
PTGS1,-1.485711413,0.163147423,0.261103432,0.550081688,0.787419782,-0.862282217,,,
SPTBN1,-1.48987531,0.162064697,0.259908735,0.637260551,0.790311579,-0.650044739,,,
ELMOD2,-1.492627957,0.161352297,0.259034945,0.592496057,0.792224847,-0.755122542,,,
BTN3A3,-1.494584732,0.160847497,0.258492964,0.740230541,0.793585692,-0.433953434,,,
UQCRFS1P1,-1.495319951,0.160658177,0.258457379,0.589345614,0.794097165,-0.762814164,,,
MRGPRF,-1.498400281,0.15986705,0.257477886,0.665559256,0.796241039,-0.587360978,,,
SLC44A2,-1.510395918,0.156817791,0.253333652,0.764783402,0.804604668,-0.386876881,,,
COL8A1,-1.513705399,0.155985332,0.25225243,0.800615056,0.806916239,-0.320819348,,,
RAD23A,-1.517467095,0.155043719,0.251255334,0.724631361,0.809545824,-0.464680851,,,
RAB1B,-1.523774218,0.15347587,0.248975545,0.810436583,0.813959897,-0.303228796,,,
PLSCR3,-1.526931038,0.152696254,0.247971018,0.748997814,0.816171617,-0.416966587,,,
NCAM1,-1.52880547,0.15223495,0.247481843,0.48779722,0.817485631,-1.035646558,,,
M6PR,-1.540897647,0.149287702,0.24371572,0.536915401,0.825975967,-0.897233307,,,
FAS,-1.543926117,0.148557301,0.242779691,0.649137512,0.828105999,-0.623403966,,,
PGAM1,-1.551489923,0.146746511,0.240074186,0.807711639,0.833432216,-0.308087766,,,
STXBP1,-1.553162092,0.14634877,0.239677116,0.708107644,0.834610924,-0.497959405,,,
ITGA9,-1.565377023,0.143471465,0.235833422,0.605445117,0.843234466,-0.723931909,,,
RFTN1,-1.56573657,0.143387518,0.235833422,0.745788689,0.843488652,-0.423161179,,,
RAB23,-1.573589949,0.141564484,0.234324081,0.38373314,0.849045691,-1.381824732,,,
GET3,-1.57596254,0.14101769,0.233669183,0.609412975,0.850726405,-0.714507878,,,
LIN7C,-1.578174433,0.140509581,0.233077052,0.714777861,0.852294062,-0.484433144,,,
CNN1,-1.579284937,0.140255079,0.232904782,0.656461483,0.853081404,-0.607217729,,,
IFITM3,-1.594234713,0.136867693,0.229249679,0.803651237,0.863699053,-0.315358549,,,
ACTBL2,-1.595853107,0.136505293,0.228890654,0.900073858,0.864850508,-0.151884705,,,
RAB1A,-1.597221021,0.136199634,0.228626096,0.909820514,0.865824059,-0.136346132,,,
OGN,-1.605761524,0.13430471,0.226428661,0.708949732,0.871908755,-0.496244758,,,
UTRN,-1.632215179,0.128580565,0.217727879,0.743006674,0.89082467,-0.428552926,,,
MCFD2,-1.634420532,0.128113152,0.217174269,0.820540946,0.892406283,-0.285352767,,,
GPC6,-1.636556497,0.127661867,0.216884886,0.722444807,0.893938809,-0.469040722,,,
RPS3A,-1.642041654,0.126509349,0.215400279,0.653363397,0.897877379,-0.614042461,,,
SKP1,-1.651464129,0.124550859,0.212496936,0.55323383,0.904653273,-0.854038715,,,
NAPG,-1.657485716,0.123313263,0.210887506,0.530560651,0.908990209,-0.914410412,,,
MYO1D,-1.657979659,0.123212227,0.210887506,0.785241086,0.909346192,-0.348792434,,,
WBP2,-1.658283479,0.123150117,0.210887506,0.726184259,0.909565171,-0.461592436,,,
TUBB6,-1.660112494,0.122776791,0.210669167,0.54843485,0.910883721,-0.866607845,,,
NDUFA8,-1.66226733,0.122338241,0.210149912,0.431185488,0.912437769,-1.213619471,,,
MT-CO2,-1.668207498,0.121136444,0.208316956,0.606017454,0.916725178,-0.72256875,,,
MELTF,-1.669759251,0.120824219,0.208011406,0.759546979,0.917846003,-0.396788895,,,
UQCRB,-1.686300451,0.117539898,0.203262508,0.491814656,0.929814691,-1.023813367,,,
VDAC1,-1.69132201,0.116558597,0.202017479,0.724780887,0.933455688,-0.464383185,,,
VPS26A,-1.698197266,0.115226824,0.200158056,0.529134899,0.938446408,-0.918292522,,,
ANXA5,-1.701487581,0.11459426,0.199283156,0.752735775,0.940837135,-0.409784555,,,
NCALD,-1.701735153,0.114546789,0.199283156,0.768298979,0.94101708,-0.380260259,,,
GAP43,-1.705531779,0.113820984,0.198384715,0.67184819,0.943777663,-0.573792815,,,
HAPLN1,-1.706005426,0.113730724,0.198384715,0.560837035,0.944122197,-0.834346473,,,
RRAS2,-1.706230868,0.113687785,0.198384715,0.505542528,0.944286196,-0.984095633,,,
BANF1,-1.706985877,0.113544086,0.198384715,0.476280806,0.944835481,-1.070115685,,,
CMKLR1,-1.708549601,0.11324698,0.198278404,0.538110749,0.94597337,-0.894024968,,,
EFR3A,-1.713294823,0.112349617,0.197034194,0.41359628,0.949428404,-1.273704886,,,
ENG,-1.716529274,0.111741582,0.196532976,0.733112616,0.951785184,-0.447893262,,,
CISD2,-1.723494527,0.110442137,0.194690472,0.695312255,0.956865199,-0.524267077,,,
DSTN,-1.726641205,0.109859515,0.193884486,0.792053161,0.959162323,-0.336330831,,,
ERGIC3,-1.744980585,0.106518104,0.189066576,0.589681356,0.972576574,-0.761992514,,,
LASP1,-1.745335991,0.106454256,0.189066576,0.809696545,0.972836973,-0.304546773,,,
CAVIN2,-1.752422309,0.105188333,0.18735157,0.457090791,0.978032428,-1.129447341,,,
ABHD12,-1.762425653,0.103424236,0.184848403,0.488412161,0.985377679,-1.033828974,,,
H3-7,-1.764005683,0.103148034,0.184568125,0.483175105,0.986539046,-1.049381971,,,
PPIB,-1.773863966,0.101439615,0.182143605,0.809325659,0.993792409,-0.305207759,,,
PDIA6,-1.776395336,0.101005052,0.181574198,0.444578957,0.995656903,-1.16948843,,,
PLPP3,-1.77809618,0.100714007,0.181261763,0.581984876,0.996910126,-0.780946434,,,
ACTB,-1.779891694,0.100407579,0.181131992,0.412502956,0.998233503,-1.277523637,,,
TXNRD1,-1.783822658,0.099739634,0.180137236,0.781191246,1.00113223,-0.356252313,,,
MGP,-1.784934722,0.0995514,0.18000756,0.833426488,1.00195263,-0.262873143,,,
TMT1A,-1.790973776,0.098534763,0.178587039,0.48002745,1.006410522,-1.058811188,,,
SUSD2,-1.797442681,0.097456141,0.177047232,0.676130878,1.011190787,-0.564625561,,,
S100A13,-1.803280717,0.096491857,0.17550166,0.589990768,1.015509335,-0.761235714,,,
RHEB,-1.812342692,0.095012106,0.1730138,0.803219253,1.022221054,-0.316134244,,,
FAM180A,-1.824233615,0.093101512,0.170135861,0.822257137,1.031043264,-0.28233847,,,
H3-3A,-1.826163438,0.092794733,0.169775926,0.475987781,1.032476672,-1.071003556,,,
TES,-1.830385569,0.09212674,0.168753484,0.66500555,1.035614296,-0.588561714,,,
RAB12,-1.834039711,0.091552128,0.16789987,0.831471312,1.038331556,-0.266261607,,,
NRAS,-1.850463753,0.089009367,0.164603447,0.828727187,1.050564288,-0.271030843,,,
SPARCL1,-1.854696545,0.088364524,0.163802822,0.425384856,1.053722059,-1.233159423,,,
ACAN,-1.856951103,0.088022789,0.163561577,0.473540059,1.055404874,-1.07844162,,,
LTBP1,-1.85979686,0.08759316,0.162959115,0.781962444,1.057529808,-0.354828775,,,
CUTA,-1.872715338,0.085666717,0.159867778,0.440548476,1.067187874,-1.18262732,,,
DCTN2,-1.873163433,0.085600594,0.159867778,0.509500876,1.067523222,-0.972843468,,,
COX6C,-1.879832653,0.084621927,0.158384382,0.500170494,1.072517088,-0.999508142,,,
EMC8,-1.888013154,0.083435429,0.156352937,0.596699572,1.078649496,-0.744923353,,,
ATP5ME,-1.888044232,0.083430951,0.156352937,0.591003042,1.078672808,-0.758762538,,,
PGM5,-1.894391743,0.08252084,0.155581974,0.749500911,1.08343636,-0.415997863,,,
GNB4,-1.897479659,0.08208138,0.155131802,0.666424282,1.08575535,-0.585487127,,,
GSTP1,-1.908549933,0.080523435,0.152935172,0.7328449,1.094077708,-0.448420197,,,
RP2,-1.917514634,0.079281701,0.151133797,0.835370298,1.100827041,-0.259512246,,,
UQCRC1,-1.92612437,0.078105682,0.149075783,0.542164305,1.107317372,-0.883197963,,,
REEP5,-1.927115764,0.077971298,0.149003247,0.611390769,1.108065235,-0.709833324,,,
TMEM47,-1.936332115,0.07673214,0.146998622,0.546614325,1.115022691,-0.871404827,,,
SPNS1,-1.948971715,0.075062138,0.144156604,0.742344831,1.124579068,-0.429838598,,,
ECE1,-1.94935249,0.075012351,0.144156604,0.538460705,1.124867221,-0.893087029,,,
FAM234A,-1.949949017,0.074934416,0.144156604,0.628328704,1.125318675,-0.670408607,,,
PYGB,-1.952699151,0.074576076,0.14375887,0.594395643,1.12740047,-0.750504553,,,
VIM,-1.955107426,0.074263577,0.143544496,0.797851519,1.129224134,-0.32580781,,,
GNG7,-1.955303678,0.074238165,0.143544496,0.47389356,1.129372773,-1.077365041,,,
PCDH7,-1.962322488,0.073334554,0.14261034,0.688969668,1.134691344,-0.537487626,,,
RAP1A,-1.976405407,0.071552018,0.139494854,0.698547142,1.145378116,-0.517570615,,,
CERS2,-1.977477058,0.071418025,0.139409428,0.524821824,1.146192164,-0.930100381,,,
HLA-E,-1.985516791,0.070420158,0.137809574,0.455007219,1.152303007,-1.136038661,,,
LAMB2,-1.987802725,0.070138797,0.137618557,0.686851007,1.154041688,-0.541930914,,,
ANXA7,-1.995996078,0.069138852,0.136163904,0.743870241,1.160277839,-0.426877111,,,
TNS1,-2.000695171,0.068571329,0.135218463,0.495587213,1.163857432,-1.01278913,,,
CCDC47,-2.008939307,0.067586078,0.133445819,0.43375331,1.170142756,-1.205053329,,,
CSRP2,-2.010256381,0.067429896,0.133307698,0.661998519,1.171147508,-0.595100105,,,
ATP5PD,-2.016851644,0.066652839,0.132278933,0.598568491,1.176181349,-0.740411758,,,
CTTN,-2.018352428,0.06647718,0.132099898,0.747859096,1.177327411,-0.419161618,,,
HSPA1B,-2.033931711,0.064678933,0.129190737,0.829111691,1.189237154,-0.270361632,,,
VAMP5,-2.036662758,0.064368397,0.128903552,0.511716786,1.191327304,-0.966582537,,,
GULP1,-2.043938805,0.063547827,0.127590832,0.431041074,1.196899296,-1.214102745,,,
GLO1,-2.052265631,0.062620708,0.125892868,0.728540904,1.203282024,-0.45691812,,,
CAPN5,-2.053701515,0.062462115,0.125737539,0.442940061,1.204383314,-1.174816608,,,
MYADM,-2.054644019,0.062358219,0.125692056,0.650637754,1.205106296,-0.620073557,,,
PRKG1,-2.063121296,0.061430951,0.124146733,0.423190396,1.21161276,-1.240621209,,,
ESYT2,-2.069395143,0.060753002,0.12309848,0.430059101,1.21643226,-1.21739316,,,
TMEM33,-2.085161847,0.059079981,0.120023193,0.693198805,1.228559656,-0.528658926,,,
NPNT,-2.08575238,0.059018163,0.120023193,0.615224346,1.22901431,-0.700815499,,,
TMEM205,-2.089992229,0.058576108,0.119461005,0.569462872,1.232279487,-0.812326312,,,
SDC4,-2.0957931,0.057976316,0.118560033,0.585586286,1.236749384,-0.772046328,,,
PIGT,-2.098371323,0.057711586,0.118174983,0.505298342,1.23873699,-0.98479265,,,
SRI,-2.111925558,0.056338379,0.115850476,0.811360689,1.249195656,-0.301584691,,,
RARRES2,-2.112949062,0.056235939,0.115850476,0.634623846,1.249986045,-0.656026363,,,
LDHB,-2.121116817,0.055424696,0.114401308,0.791584519,1.256296682,-0.337184697,,,
SDC3,-2.127748929,0.054774073,0.113361068,0.504925065,1.26142496,-0.985858798,,,
TMED5,-2.130746915,0.054482327,0.112908414,0.34856044,1.263744353,-1.520519257,,,
GNAI3,-2.131831546,0.054377137,0.112841683,0.692063698,1.264583662,-0.531023264,,,
TGFB1,-2.132755639,0.054287667,0.112807438,0.730302829,1.26529882,-0.453433275,,,
PYGM,-2.134013932,0.054166063,0.112706236,0.45749597,1.266272729,-1.12816906,,,
COX4I1,-2.136407611,0.053935439,0.112377613,0.658505095,1.268125779,-0.602733493,,,
SLC25A24,-2.141741056,0.053424895,0.111614714,0.341028832,1.272256319,-1.552034378,,,
DNAJB11,-2.145954962,0.053024739,0.110928615,0.500122286,1.27552146,-0.9996472,,,
NPTN,-2.151962996,0.052459088,0.110192595,0.745902009,1.280179264,-0.422941983,,,
POGLUT3,-2.154423895,0.052229041,0.109858637,0.409781699,1.282087946,-1.287072539,,,
GOLGA7,-2.160001304,0.051711175,0.108917543,0.594829042,1.286415592,-0.749453008,,,
ATP5F1B,-2.161815884,0.051543736,0.108712983,0.606553944,1.287824102,-0.721292138,,,
CPNE3,-2.162320536,0.051497261,0.108712983,0.805389398,1.288215868,-0.312241614,,,
NPR1,-2.16448631,0.051298255,0.108639866,0.394606005,1.289897408,-1.341515183,,,
SERINC3,-2.169965384,0.050798034,0.107876045,0.527358438,1.294153094,-0.923144221,,,
FLOT2,-2.186018654,0.049358804,0.105108417,0.697069528,1.306635373,-0.520625532,,,
ERP44,-2.196674039,0.048424886,0.103261894,0.643449253,1.314931397,-0.636101723,,,
ANXA4,-2.197351912,0.048366041,0.103261894,0.763556865,1.315459463,-0.389192492,,,
KRT74,-2.204073225,0.047786228,0.102181893,0.697918933,1.320697249,-0.518868625,,,
RPL27A,-2.207098041,0.047527446,0.101910445,0.673231535,1.323055525,-0.570825338,,,
SLC25A12,-2.207272939,0.047512523,0.101910445,0.501383601,1.323191904,-0.996013284,,,
TUBB,-2.208192877,0.047434107,0.101910445,0.866785013,1.323909274,-0.206253886,,,
ACTN4,-2.211599369,0.0471448,0.10165392,0.787261708,1.326566204,-0.345084786,,,
COX5A,-2.221170777,0.046340842,0.100480985,0.515617656,1.334036076,-0.955626428,,,
SEC62,-2.22850291,0.045733788,0.099303984,0.507063439,1.339762823,-0.979761839,,,
MACROH2A1,-2.232818943,0.045379985,0.098674342,0.404371572,1.34313565,-1.306246519,,,
HRAS,-2.23899541,0.044878193,0.097858513,0.358364654,1.34796464,-1.480499744,,,
CSNK2A1,-2.240413332,0.044763743,0.097746818,0.740506278,1.349073604,-0.433416128,,,
EVA1B,-2.241186945,0.044701417,0.097746818,0.682493649,1.349678709,-0.551112473,,,
CAMK2G,-2.242466053,0.044598546,0.097661973,0.39020797,1.350679296,-1.357684851,,,
ART4,-2.245532186,0.044352872,0.097480864,0.461642781,1.353078254,-1.115151167,,,
IGF1R,-2.248513681,0.044115213,0.097154017,0.477503871,1.355411618,-1.066415668,,,
MYLK,-2.248774991,0.044094442,0.097154017,0.700516918,1.355616153,-0.513508201,,,
RER1,-2.26351285,0.042937873,0.095103082,0.575360567,1.367159475,-0.797461748,,,
RHOB,-2.27175553,0.042303674,0.094102848,0.532022314,1.373621916,-0.910441339,,,
H2AZ2,-2.276688181,0.041928431,0.093402527,0.46078409,1.377491392,-1.117837191,,,
PLXNB2,-2.279431976,0.041721077,0.093074725,0.78602255,1.379644491,-0.347357392,,,
FSTL1,-2.284155802,0.041366377,0.092416791,0.39152029,1.383352511,-1.35284102,,,
P2RX4,-2.287724747,0.041100304,0.092088508,0.782984291,1.386154961,-0.352944732,,,
ALDH2,-2.288516178,0.041041523,0.092088508,0.417748227,1.38677653,-1.259294391,,,
PDLIM7,-2.291848871,0.040794876,0.091669881,0.487306695,1.389394383,-1.03709805,,,
SLC12A4,-2.296188459,0.04047583,0.091085348,0.454945564,1.392804232,-1.136234164,,,
SEC63,-2.296402054,0.040460189,0.091085348,0.399213235,1.392972096,-1.324768543,,,
MYOF,-2.296573693,0.040447624,0.091085348,0.724633337,1.39310699,-0.464676917,,,
H2BC18,-2.297872265,0.04035268,0.091085348,0.474617824,1.394127614,-1.075161815,,,
LMCD1,-2.297905669,0.040350241,0.091085348,0.391814473,1.39415387,-1.351757407,,,
CAPZA2,-2.301408336,0.040095223,0.09102381,0.828389303,1.396907366,-0.271619171,,,
H6PD,-2.302019498,0.040050884,0.09102381,0.329095633,1.397387889,-1.603421211,,,
CD81,-2.30364614,0.039933103,0.090922794,0.786749809,1.398666943,-0.346023172,,,
ATP9A,-2.315131275,0.039110862,0.089313726,0.338214794,1.407702612,-1.563988328,,,
ABCC1,-2.315634604,0.039075201,0.089313726,0.416974008,1.408098783,-1.261970639,,,
ME1,-2.32170648,0.038647447,0.088648298,0.531646099,1.41287919,-0.91146189,,,
CHID1,-2.325314208,0.038395415,0.088201057,0.481430565,1.415720636,-1.054600358,,,
NECTIN2,-2.325356877,0.038392443,0.088201057,0.517591599,1.415754247,-0.950113893,,,
SLC25A11,-2.3380585,0.037517653,0.086441567,0.642024337,1.425764338,-0.639300108,,,
CALHM2,-2.343732151,0.037133097,0.085811313,0.55508053,1.430238827,-0.849231005,,,
TPCN1,-2.352568411,0.0365417,0.084952584,0.364618538,1.43721125,-1.45554018,,,
SLC4A2,-2.36548295,0.035693585,0.08348303,0.484916711,1.447409827,-1.044191122,,,
MDH1,-2.370743849,0.035353543,0.082916811,0.73852573,1.451567058,-0.43727991,,,
TAPBP,-2.380052822,0.034759465,0.082168399,0.391462774,1.458926916,-1.353052974,,,
VAPA,-2.387223999,0.034308376,0.081350842,0.471540448,1.464599843,-1.084546566,,,
ITGB3,-2.392930941,0.033953422,0.080632858,0.699244582,1.469116447,-0.516130924,,,
H2AC20,-2.396399032,0.033739448,0.080542238,0.426184657,1.471862027,-1.230449438,,,
H2AC21,-2.411447472,0.032825944,0.078680479,0.464634561,1.483782777,-1.105831623,,,
SPARC,-2.411881784,0.032799937,0.078680479,0.24284388,1.484126996,-2.041898966,,,
TM9SF4,-2.422440953,0.032173716,0.077634776,0.475900003,1.492498778,-1.071269631,,,
PGRMC2,-2.42416068,0.032072825,0.077597162,0.228242895,1.493862791,-2.131358147,,,
LRRC32,-2.431354816,0.031654067,0.077309933,0.52288576,1.499570481,-0.935432315,,,
SDF4,-2.435799954,0.031397968,0.076805789,0.548457985,1.503098455,-0.866546988,,,
CTNNB1,-2.436816193,0.031339701,0.076784751,0.546249253,1.503905151,-0.872368693,,,
YWHAG,-2.462814368,0.029884116,0.073921349,0.836282029,1.524559586,-0.257938534,,,
SPCS1,-2.472210818,0.029374299,0.073010718,0.310861336,1.532032484,-1.685656905,,,
CALM3,-2.478573349,0.029033886,0.072280819,0.785283019,1.537094827,-0.348715395,,,
IGFBP7,-2.479652001,0.028976556,0.072254444,0.595740153,1.537953238,-0.747244895,,,
EGFR,-2.498325942,0.028001259,0.070161989,0.479197554,1.552822435,-1.061307549,,,
SLC9A6,-2.515475853,0.027133678,0.068221807,0.348970352,1.566491333,-1.518823624,,,
PEBP1,-2.518870222,0.026965086,0.068006564,0.657679557,1.569198183,-0.604543269,,,
H2BC21,-2.534872398,0.026183912,0.066579487,0.424622552,1.581965463,-1.235747099,,,
VCAN,-2.5369242,0.026085356,0.06652404,0.549555958,1.583603225,-0.863661706,,,
GNG11,-2.539512112,0.025961564,0.066451288,0.699082764,1.585669148,-0.516464829,,,
NIBAN1,-2.540626877,0.025908416,0.066425225,0.603027566,1.586559142,-0.729704142,,,
HM13,-2.541146706,0.025883668,0.066425225,0.274590263,1.586974174,-1.864647627,,,
YWHAH,-2.547047052,0.025604379,0.06597395,0.855061395,1.59168575,-0.225900084,,,
YWHAB,-2.554095022,0.025274613,0.065403835,0.763555666,1.597315477,-0.389194757,,,
SLC16A1,-2.554498171,0.025255876,0.065403835,0.53915299,1.597637559,-0.891233385,,,
ARL6IP5,-2.559396637,0.025029288,0.065183911,0.346665494,1.601551496,-1.528383851,,,
CRIP2,-2.569954938,0.024547613,0.064105761,0.651697161,1.609990725,-0.617726386,,,
PDGFRB,-2.570127476,0.024539818,0.064105761,0.676052638,1.610128669,-0.564792514,,,
TSPAN9,-2.572885448,0.024415533,0.064085592,0.719642353,1.612333794,-0.474647999,,,
SGCG,-2.579234824,0.024131735,0.063448406,0.517591001,1.617411446,-0.950115561,,,
VDAC3,-2.594713905,0.023453297,0.062193476,0.422786603,1.629796105,-1.241998434,,,
CRYAB,-2.597139685,0.023348679,0.062022435,0.559771471,1.63173769,-0.837090135,,,
VDAC2,-2.602802217,0.02310624,0.061696454,0.377358795,1.636270725,-1.405991197,,,
NAALADL2,-2.613202353,0.022667357,0.060734375,0.35319716,1.644599107,-1.501454353,,,
LANCL1,-2.623864136,0.022225901,0.059758684,0.338570993,1.653140617,-1.562469721,,,
ATP5PB,-2.628069272,0.02205411,0.059400093,0.353454486,1.65651047,-1.500403643,,,
CYB5B,-2.631286351,0.021923561,0.059151529,0.615499226,1.659088895,-0.700171053,,,
KRT18,-2.632780505,0.021863187,0.05909176,0.296898214,1.660286537,-1.751959682,,,
GPC4,-2.634159038,0.021807628,0.059044822,0.648406222,1.661391563,-0.62503016,,,
PSMD11,-2.645083517,0.021372209,0.058377094,0.425299311,1.670150585,-1.233449578,,,
HEXB,-2.64556619,0.021353169,0.058377094,0.701780697,1.670537663,-0.510907829,,,
RGS17,-2.646443344,0.02131861,0.058377094,0.515868982,1.671241112,-0.954923391,,,
ITGA2B,-2.647286376,0.021285447,0.058377094,0.721156598,1.671917218,-0.471615523,,,
